"","hhidpn","wave","tot_finw","income","age","female","hi_school","college","married","if_child","empl","selfempl","socladder"
"10728",48904010,13,14881.137,25121.0909918258,80,1,1,0,0,1,0,0,7
"13201",56712040,10,41541.555,94463.1454441848,64.000001,1,1,0,1,1,1,0,6
"16907",79900030,11,1690.8826,131180.987030528,70,1,1,0,1,1,0,0,5
"28546",211371020,9,1.202078,53054.9092463616,78.000002,1,1,0,1,1,0,0,8
"3780",22052010,13,3235.0298,84680.9001511357,75.999999,1,1,0,1,1,0,0,2
"9593",45570010,10,1186.9015,143947.364534347,69.000001,0,1,0,1,1,0,1,8
"8529",42240010,14,1.0306802,3215.7232465258,83.000002,1,0,0,0,1,0,0,6
"30048",213115010,14,103068.02,23796.3544593465,91.999998,1,0,0,0,1,0,0,8
"2311",17392040,10,77504.672,66703.8480035811,65,1,1,0,1,1,0,0,3
"27729",210087010,8,5135.1387,26004.333755644,76.999998,1,0,1,0,1,0,0,8
"16117",77484020,14,1.0306802,41507.5556110193,83.999996,1,1,0,0,1,0,0,3
"18612",85926020,9,13.222858,27166.9611721926,70.999999,0,0,0,0,1,0,0,7
"36822",502526010,9,360.62341,24762.8012031614,56.999998,1,1,0,0,1,1,0,4
"42014",535408010,11,1.1272551,103932.951604693,53.000002,0,1,0,0,1,1,0,4
"18751",86354010,9,1.202078,58998.0136924402,69.000001,1,0,0,1,1,0,0,3
"30753",500125010,9,1.202078,69720.5431406488,55.999999,1,1,0,1,1,0,0,5
"9263",44754010,12,24051.441,61265.5553222224,75.999999,1,1,0,0,1,0,0,5
"26345",204509020,8,141216.31,78937.3755749735,80,1,1,0,1,1,0,0,6
"44730",914149020,12,68327.961,300101.065043238,73.000002,0,1,0,1,1,0,1,8
"684",12695020,12,75980.688,47009.6481324028,73.000002,0,0,1,1,1,0,0,8
"13903",60383010,11,45090.203,52755.5139827988,71.999998,1,0,0,0,1,0,0,6
"2045",16789010,11,101452.95,85671.4114146626,70.999999,0,1,0,1,1,0,0,8
"972",13817041,9,155068.06,163030.686953172,63.000002,1,1,0,0,1,0,0,4
"12242",52946020,12,2186.4946,48540.1625324411,75.999999,1,1,0,1,1,0,0,7
"6262",35428011,9,316146.5,63517.7933286795,73.000002,1,1,0,0,1,1,0,7
"1240",14456010,11,197269.64,260327.333003915,80,1,1,0,1,1,0,0,8
"34225",501495010,12,33016.07,87459.8281642341,53.000002,0,1,0,1,1,1,0,5
"40565",528737010,15,23000,222819.953068754,61.999998,1,0,1,1,1,0,0,9
